Name	Tax ID	GTDB ID	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	23.47	0.999761	0.999761	471993	373750
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	20.75	0.661664	0.659827	339401	330435
s__Propionimicrobium lymphophilum GCA_000510445.1	1111131	GCA_000510445.1	16.63	0.808898	0.457119	219978	264826
s__Prevotella disiens GCA_000613345.1	1235811	GCA_000613345.1	6.4	0.683073	0.693159	111846	101917
s__Peptoniphilus_C coxii GCA_001553115.1	755172	GCA_001553115.1	3.46	0.61567	0.616764	40888	55099
s__Varibaculum massiliense GCA_900106855.1	1852372	GCA_900106855.1	3.39	0.750254	0.743298	50044	53984
s__Brevibacterium ravenspurgense GCA_001807555.1	1581140	GCA_001807555.1	2.84	0.551219	0.251066	41805	45226
s__Peptoniphilus_B duerdenii GCA_000478945.1	1111133	GCA_000478945.1	2.21	0.557784	0.438385	27993	35193
s__Falseniella ignava GCA_000301055.1	883112	GCA_000301055.1	1.92	0.62661	0.626554	21136	30575
s__Actinotignum schaalii_A GCA_000411135.1	883067	GCA_000411135.1	1.39	0.358539	0.312727	18700	22135
s__Corynebacterium riegelii GCA_001806945.1	1581072	GCA_001806945.1	1.23	0.334457	0.319715	20114	19587
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	0.96	0.419963	0.382265	11177	15288
s__Vaginimicrobium propionicum GCA_900155645.1	1871034	GCA_900155645.1	0.9000000000000001	0.32502	0.324565	11766	14332
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	0.66	0.178819	0.139804	8669	10510
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	0.64	0.220116	0.15159	8450	10192
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	0.63	0.05217	0.014788	10326	10032
s__Porphyromonas sp001552775 GCA_001552775.1	1497953	GCA_001552775.1	0.61	0.322446	0.322446	7303	9714
s__Anaerococcus sp900258475 GCA_900258475.1	2057799	GCA_900258475.1	0.57	0.148043	0.148113	8269	9077
s__Aerococcus urinae_D GCA_001809895.1	1715159	GCA_001809895.1	0.55	0.417435	0.436752	7485	8759
s__Gleimia urinae GCA_900119695.1	1689268	GCA_900119695.1	0.48	0.128991	0.110605	6082	7644
s__Urinicoccus massiliensis GCA_900120405.1	1723382	GCA_900120405.1	0.45999999999999996	0.299618	0.286706	6001	7325
s__Ezakiella peruensis GCA_900215725.1	1464038	GCA_900215725.1	0.44	0.179416	0.178917	4705	7007
s__Corynebacterium imitans GCA_000739455.1	156978	GCA_000739455.1	0.43	0.124881	0.123416	7075	6848
s__Prevotella ihumii GCA_900155655.1	1917878	GCA_900155655.1	0.42	0.020189	0.007446	8958	6688
s__Facklamia hominis GCA_000413455.1	883110	GCA_000413455.1	0.4099999999999999	0.301346	0.152873	4902	6529
s__Corynebacterium sp001806875 GCA_001806875.1	1581069	GCA_001806875.1	0.39	0.147454	0.109172	5972	6211
s__Fenollaria massiliensis GCA_001811395.1	1739304	GCA_001811395.1	0.37	0.238344	0.135229	3804	5892
s__Anaerococcus vaginalis_B GCA_000307225.1	33037	GCA_000307225.1	0.35	0.360094	0.353874	4412	5574
s__Lawsonella clevelandensis GCA_001281505.1	1528099	GCA_001281505.1	0.32	0.100075	0.125969	3971	5096
s__Porphyromonas_A somerae GCA_000372405.1	1122975	GCA_000372405.1	0.31	0.164096	0.107263	4660	4937
s__Prevotella buccalis GCA_000177075.1	679190	GCA_000177075.1	0.29	0.138698	0.10125	5577	4618
s__Anaerococcus lactolyticus GCA_000156575.1	525254	GCA_000156575.1	0.29	0.042621	0.032326	3886	4618
s__Actinotignum timonense GCA_002860685.1	1870995	GCA_002860685.1	0.24	0.164504	0.108583	3561	3822
s__Faecalimonas phoceensis GCA_000431655.1	1263069	GCA_000431655.1	0.24	0.181279	0.181391	3953	3822
s__Prevotella bergensis GCA_000160535.1	585502	GCA_000160535.1	0.22999999999999998	0.134348	0.132456	4888	3663
s__Finegoldia magna_H GCA_000582635.1	1459804	GCA_000582635.1	0.22999999999999998	0.151942	0.067152	2842	3663
s__Trueperella bernardiae GCA_001808465.1	1581142	GCA_001808465.1	0.21	0.099906	0.032619	2680	3344
s__Corynebacterium mucifaciens GCA_000747315.1	401472	GCA_000747315.1	0.21	0.006644	0.005757	2982	3344
s__Prevotella timonensis GCA_000455445.1	1122992	GCA_000455445.1	0.21	0.07693	0.052455	4335	3344
s__Prevotella sp900547085 GCA_900547085.1	159272	GCA_900547085.1	0.21	0.10929	0.062148	2856	3344
s__Pseudoglutamicibacter cumminsii_A GCA_003143995.1	156979	GCA_003143995.1	0.2	0.073818	0.071646	2634	3185
s__Corynebacterium sp001815985 GCA_001815965.1	1581056	GCA_001815965.1	0.2	0.097895	0.054475	3000	3185
s__Prevotella timonensis_A GCA_000762405.1	1401062	GCA_000762405.1	0.2	0.062408	0.027757	3985	3185
s__Varibaculum cambriense_A GCA_000508625.1	1403948	GCA_000508625.1	0.19	0.077771	0.053142	2754	3026
s__Peptoniphilus_C pacaensis GCA_900088125.1	1776390	GCA_900088125.1	0.19	0.084311	0.081478	2276	3026
s__Campylobacter_B ureolyticus GCA_000597825.1	827	GCA_000597825.1	0.17	0.189287	0.121776	1859	2707
s__Dialister micraerophilus GCA_000194985.1	888062	GCA_000194985.1	0.17	0.118922	0.10766	1317	2707
s__Staphylococcus simulans GCA_001838075.1	1715200	GCA_001838075.1	0.16	0.114437	0.070812	2635	2548
s__Gleimia europaea_B GCA_000411155.1	883069	GCA_000411155.1	0.15	0.089844	0.07092	1837	2389
s__Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	GCA_000378725.1	0.15	0.165788	0.080984	1711	2389
s__Campylobacter_B ureolyticus_A GCA_000413435.1	883165	GCA_000413435.1	0.14	0.139734	0.075092	1549	2229
s__Peptoniphilus_A grossensis GCA_000311825.1	1118057	GCA_000311825.1	0.14	0.109515	0.071892	1859	2229
s__Prevotella sp000479005 GCA_000479005.1	1111130	GCA_000479005.1	0.13	0.082085	0.031858	2370	2070
s__Peptoniphilus_A vaginalis GCA_001553125.1	1477000	GCA_001553125.1	0.13	0.094293	0.023385	1445	2070
s__Corynebacterium amycolatum_A GCA_001809065.1	1715027	GCA_001809065.1	0.12	0.081216	0.037628	1810	1911
s__Ezakiella coagulans GCA_003096635.1	46507	GCA_003096635.1	0.12	0.066491	0.066033	1441	1911
s__Anaerococcus mediterraneensis GCA_900128415.1	1870984	GCA_900128415.1	0.11	0.022433	0.021218	1403	1752
s__Porphyromonas_A sp900120395 GCA_900120395.1	1720317	GCA_900120395.1	0.1	0.043013	0.043013	1367	1592
s__Streptococcus halitosis	2172545		0.09	0.029136	0.022618	1016	1433
s__Urinicoccus timonensis GCA_000221565.2	879308	GCA_000221565.2	0.09	0.082377	0.023655	1088	1433
s__Varibaculum timonense_A GCA_900120415.1	1870994	GCA_900120415.1	0.08	0.014663	0.008022	1135	1274
s__Winkia sp002849225 GCA_002849225.1	2066054	GCA_002849225.1	0.08	0.03688	0.035819	1136	1274
s__Corynebacterium urealyticum GCA_000338095.1	1267754	GCA_000338095.1	0.08	0.049325	0.019225	1235	1274
