Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Enterobacteriaceae	543	93.46	10095089	9737528
Bacteroidaceae	815	1.1900000000000002	78750	123986
Alkalibacillaceae	186817	1.1	59330	114608
Lactobacillaceae	33958	1.04	29990	108357
Flavobacteriaceae	49546	0.93	61467	96896
Actinomycetaceae	2049	0.78	33157	81267
Peptoniphilaceae	1570339	0.7400000000000001	29832	77101
Propionibacteriaceae	31957	0.28	11989	29173
Porphyromonadaceae	171551	0.26	12031	27089
Atopobiaceae	1643824	0.14	4318	14587
Aerococcaceae	186827	0.03	1426	3126
Campylobacteraceae	72294	0.02	623	2084
Streptococcaceae	1300	0.01	619	1042
Peptococcaceae	186807	0.01	305	1042
