Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Escherichia	561	93.46	10095089	9737528
Prevotella	838	1.1900000000000002	78750	123986
Allobacillus	1400133	1.1	59330	114608
Lactobacillus	1578	1.04	29990	108357
Imtechella	1165076	0.93	61467	96896
Pauljensenia	2740557	0.61	25400	63555
Propionimicrobium	203133	0.28	11989	29173
Porphyromonas	836	0.21	9662	21880
Peptoniphilus_A	162289	0.18	7179	18754
Ezakiella	1582879	0.17	6540	17712
Anaerococcus	165779	0.15	6565	15629
Peptoniphilus_C	162289	0.14	5351	14586
Actinotignum	1653174	0.13	6187	13544
Atopobium	1380	0.13	3962	13545
Porphyromonas_A	836	0.05	2369	5209
Urinicoccus	2024199	0.04	1851	4168
Peptoniphilus_B	162289	0.04	1417	4168
Varibaculum	184869	0.03	1214	3126
Facklamia	66831	0.02	867	2084
Campylobacter_B	194	0.02	623	2084
Finegoldia	150022	0.02	929	2084
Streptococcus	1301	0.01	619	1042
Aerococcus	1375	0.01	559	1042
Actinomyces	1654	0.01	356	1042
Olegusella	1979843	0.01	356	1042
Peptococcus	2740	0.01	305	1042
