Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Enterobacterales	91347	93.46	10095089	9737528
Bacteroidales	171549	1.4500000000000002	90781	151075
Bacillales_D	1385	1.1	59330	114608
Lactobacillales	186826	1.08	32035	112525
Flavobacteriales	200644	0.93	61467	96896
Actinomycetales	2037	0.78	33157	81267
Tissierellales	1737405	0.7400000000000001	29832	77101
Propionibacteriales	85009	0.28	11989	29173
Coriobacteriales	84999	0.14	4318	14587
Campylobacterales	213849	0.02	623	2084
Peptococcales	186802	0.01	305	1042
