Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Escherichia coli	562	93.46	10095089	9737528
Allobacillus halotolerans	570278	1.08	58371	112524
Lactobacillus iners	147802	1.04	29990	108357
Imtechella halotolerans	1165090	0.93	61467	96896
Prevotella timonensis	386414	0.61	41231	63555
Pauljensenia turicensis	131111	0.61	25400	63555
Prevotella timonensis_A	386414	0.4099999999999999	27452	42718
Propionimicrobium lymphophilum	33012	0.28	11989	29173
Ezakiella coagulans	46507	0.17	6540	17712
Porphyromonas uenonis	281920	0.15	7027	15628
Peptoniphilus_C coxii	755172	0.14	5351	14586
Atopobium deltae	1393034	0.13	3962	13545
Anaerococcus vaginalis_B	33037	0.12	4869	12503
Peptoniphilus_A harei_A	54005	0.1	4000	10419
Peptoniphilus_A lacrimalis	33031	0.06	2436	6251
Actinotignum schaalii_A	59505	0.06	2672	6251
Prevotella colorans	1703337	0.05	3026	5209
Porphyromonas_A sp001808555	1739394	0.05	2369	5209
Actinotignum timonense	1870995	0.05	2644	5209
Prevotella buccalis	28127	0.04	2713	4168
Prevotella sp000479005	28127	0.04	2196	4168
Urinicoccus massiliensis	1723382	0.04	1851	4168
Prevotella sp900547085	838	0.03	1321	3126
Porphyromonas uenonis_A	281920	0.03	1445	3126
Porphyromonas asaccharolytica	28123	0.03	1190	3126
Peptoniphilus_B duerdenii	507750	0.03	1076	3126
Varibaculum massiliense	1852372	0.03	1214	3126
Facklamia hominis	178214	0.02	867	2084
Allobacillus salarius	1955272	0.02	959	2084
Campylobacter_B ureolyticus	827	0.02	623	2084
Anaerococcus lactolyticus	33032	0.02	1023	2084
Peptoniphilus_A vaginalis	54005	0.02	743	2084
Finegoldia magna_H	1260	0.02	929	2084
Actinotignum sanguinis	1445614	0.02	871	2084
Streptococcus anginosus	1328	0.01	619	1042
Aerococcus urinae_B	1376	0.01	559	1042
Prevotella corporis	28128	0.01	811	1042
Anaerococcus sp900258475	77133	0.01	673	1042
Peptoniphilus_B sp000478985	507751	0.01	341	1042
Actinomyces urogenitalis	103621	0.01	356	1042
Olegusella massiliensis	1776381	0.01	356	1042
Peptococcus niger	2741	0.01	305	1042
