Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Escherichia coli GCA_000355595.1	1116017	93.46	10095089	9737528
Allobacillus halotolerans GCA_007559355.1	1955271	1.08	58371	112524
Lactobacillus iners GCA_011058755.1	147802	1.04	29990	108357
Imtechella halotolerans GCA_000260835.1	946077	0.93	61467	96896
Prevotella timonensis GCA_000455445.1	1122992	0.61	41231	63555
Pauljensenia turicensis GCA_000296505.1	883077	0.61	25400	63555
Prevotella timonensis_A GCA_000762405.1	1401062	0.4099999999999999	27452	42718
Propionimicrobium lymphophilum GCA_000510445.1	1111131	0.28	11989	29173
Ezakiella coagulans GCA_003096635.1	46507	0.17	6540	17712
Porphyromonas uenonis GCA_000482365.1	1122976	0.15	7027	15628
Peptoniphilus_C coxii GCA_001553115.1	755172	0.14	5351	14586
Atopobium deltae GCA_001552785.1	1393034	0.13	3962	13545
Anaerococcus vaginalis_B GCA_000307225.1	33037	0.12	4869	12503
Peptoniphilus_A harei_A GCA_000183565.2	908338	0.1	4000	10419
Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	0.06	2436	6251
Actinotignum schaalii_A GCA_000411135.1	883067	0.06	2672	6251
Prevotella colorans GCA_003096815.1	1703337	0.05	3026	5209
Porphyromonas_A sp001808555 GCA_001808555.1	1739394	0.05	2369	5209
Actinotignum timonense GCA_002860685.1	1870995	0.05	2644	5209
Prevotella buccalis GCA_000177075.1	679190	0.04	2713	4168
Prevotella sp000479005 GCA_000479005.1	1111130	0.04	2196	4168
Urinicoccus massiliensis GCA_900120405.1	1723382	0.04	1851	4168
Prevotella sp900547085 GCA_900547085.1	159272	0.03	1321	3126
Porphyromonas uenonis_A GCA_000174775.1	596327	0.03	1445	3126
Porphyromonas asaccharolytica GCA_000183605.2	910312	0.03	1190	3126
Peptoniphilus_B duerdenii GCA_000478945.1	1111133	0.03	1076	3126
Varibaculum massiliense GCA_900106855.1	1852372	0.03	1214	3126
Facklamia hominis GCA_000301035.1	883111	0.02	867	2084
Allobacillus salarius GCA_007559425.1	1955272	0.02	959	2084
Campylobacter_B ureolyticus GCA_000597825.1	827	0.02	623	2084
Anaerococcus lactolyticus GCA_000156575.1	525254	0.02	1023	2084
Peptoniphilus_A vaginalis GCA_900176605.1	1756987	0.02	743	2084
Finegoldia magna_H GCA_000179695.1	866773	0.02	929	2084
Actinotignum sanguinis GCA_003957255.1	1445614	0.02	871	2084
Streptococcus anginosus GCA_001812815.1	1739380	0.01	619	1042
Aerococcus urinae_B GCA_001811135.1	1739288	0.01	559	1042
Prevotella corporis GCA_000430525.1	1122981	0.01	811	1042
Anaerococcus sp900258475 GCA_900258475.1	2057799	0.01	673	1042
Peptoniphilus_B sp000478985 GCA_000478985.1	1111134	0.01	341	1042
Actinomyces urogenitalis GCA_000758745.1	1284679	0.01	356	1042
Olegusella massiliensis GCA_900078545.1	1776381	0.01	356	1042
Peptococcus niger GCA_900101835.1	2741	0.01	305	1042
