Enzyme ID	Name	Copies per Million (CPM)	Relative Abundance
2.7.13.3	Histidine kinase	33469.2	3.346919786935082
1.6.5.5	NADPH:quinone reductase	17639.3	1.7639298877082215
3.6.4.12	DNA helicase	13767.8	1.376779912354189
2.7.7.7	DNA-directed DNA polymerase	12460.6	1.246059920675824
2.7.7.6	DNA-directed RNA polymerase	8791.83	0.8791829440312128
5.2.1.8	Peptidylprolyl isomerase	8196.12	0.8196119478235027
2.2.1.1	Transketolase	7948.27	0.7948269494013156
1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	7216.15	0.7216149540619912
3.4.16.4	Serine-type D-Ala-D-Ala carboxypeptidase	6798.68	0.6798679567196052
1.17.4.1	Ribonucleoside-diphosphate reductase	6250.49	0.6250489602093824
2.2.1.2	Transaldolase	5989.75	0.5989749618692533
6.1.1.20	Phenylalanine--tRNA ligase	5171.41	0.5171409670788054
2.7.6.1	Ribose-phosphate diphosphokinase	5062.13	0.5062129677744819
2.1.3.3	Ornithine carbamoyltransferase	4914.39	0.4914389687149947
2.7.1.144	Tagatose-6-phosphate kinase	4892.94	0.48929396885154536
2.4.1.129	Peptidoglycan glycosyltransferase	4855.08	0.48550796909256216
6.3.4.19	tRNA(Ile)-lysidine synthetase	4734	0.47339996986335736
3.5.1.88	Peptide deformylase	4633.95	0.46339497050027556
2.8.1.7	Cysteine desulfurase	4560.86	0.4560859709655665
2.7.1.121	Phosphoenolpyruvate--glycerone phosphotransferase	4526.62	0.4526619711835384
4.3.1.17	L-serine ammonia-lyase	4451.73	0.4451729716602881
5.99.1.3	Transferred entry 5.6.2.2	4406.99	0.44069897194510294
6.1.1.14	Glycine--tRNA ligase	4340.49	0.4340489723684419
1.8.1.4	Dihydrolipoyl dehydrogenase	4299.61	0.429960972628684
5.3.1.26	Galactose-6-phosphate isomerase	4032.34	0.4032339743301247
2.3.2.18	glycyltransferase	3998.72	0.39987197454414963
6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	3922.87	0.3922869750270107
2.7.6.5	GTP diphosphokinase	3730.79	0.3730789762497919
1.6.99.3	NADH dehydrogenase	3714.39	0.3714389763541943
1.97.1.4	[Formate-C-acetyltransferase]-activating enzyme	3708.15	0.3708149763939182
2.1.1.177	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase	3696.6	0.3696599764674455
7.3.2.1	ABC-type phosphate transporter	3576.46	0.35764597723225666
3.6.3.17	Transferred entry 7.5.2.8	3573.23	0.35732297725281886
2.7.1.113	Deoxyguanosine kinase	3500.75	0.3500749777142265
2.1.3.15	Acetyl-CoA carboxytransferase	3498.22	0.34982197773033247
1.17.4.2	Ribonucleoside-triphosphate reductase (thioredoxin)	3498.16	0.34981597773071443
6.1.1.2	Tryptophan--tRNA ligase	3486.87	0.34868697780258656
3.1.3.48	Protein-tyrosine-phosphatase	3483.1	0.3483099778265864
2.7.1.60	N-acylmannosamine kinase	3480.08	0.3480079778458117
3.1.26.4	Ribonuclease H	3453.3	0.3453299780162932
5.3.1.6	Ribose-5-phosphate isomerase	3421.33	0.3421329782198142
2.7.2.3	Phosphoglycerate kinase	3390.15	0.3390149784183061
2.7.8.5	CDP-diacylglycerol--glycerol-3-phosphate 1-phosphatidyltransferase	3371.14	0.33711397853932373
2.7.1.76	Deoxyadenosine kinase	3345.37	0.33453697870337556
1.5.1.2	Pyrroline-5-carboxylate reductase	3338.65	0.33386497874615506
2.7.1.107	Diacylglycerol kinase (ATP)	3302.97	0.3302969789732939
6.1.1.4	Leucine--tRNA ligase	3292.43	0.32924297904039157
2.1.1.72	Site-specific DNA-methyltransferase (adenine-specific)	3285.78	0.32857797908272546
2.4.2.8	Hypoxanthine phosphoribosyltransferase	3280.04	0.3280039791192663
3.4.21.89	Signal peptidase I	3241.75	0.3241749793630204
2.4.2.9	Uracil phosphoribosyltransferase	3088.46	0.30884598033886457
5.1.3.3	Aldose 1-epimerase	3082.4	0.3082399803774425
2.5.1.6	Methionine adenosyltransferase	3075.39	0.3075389804220681
4.2.1.46	dTDP-glucose 4,6-dehydratase	3021.86	0.30218598076284015
2.7.7.23	UDP-N-acetylglucosamine diphosphorylase	3021.68	0.302167980763986
3.1.11.6	Exodeoxyribonuclease VII	3010.47	0.3010469808353488
3.4.21.92	Endopeptidase Clp	2971.24	0.29712398108508703
4.2.99.18	DNA-(apurinic or apyrimidinic site) lyase	2929.71	0.292970981349467
5.4.99.12	tRNA pseudouridine(38-40) synthase	2899.61	0.28996098154108363
6.1.1.19	Arginine--tRNA ligase	2894.66	0.28946598157259523
3.5.1.47	N-acetyldiaminopimelate deacetylase	2870.38	0.2870379817271618
3.5.1.14	N-acyl-aliphatic-L-amino acid amidohydrolase	2863.81	0.28638098176898635
3.6.1.27	Undecaprenyl-diphosphate phosphatase	2855.21	0.285520981823734
3.6.1.23	dUTP diphosphatase	2849.1	0.2849099818626302
6.1.1.17	Glutamate--tRNA ligase	2846.62	0.2846619818784179
4.3.2.2	Adenylosuccinate lyase	2836.67	0.28366698194175965
2.3.1.274	Phosphate acyltransferase	2825.4	0.28253998201350444
4.1.3.3	N-acetylneuraminate lyase	2815.05	0.28150498207939256
6.1.1.10	Methionine--tRNA ligase	2797.01	0.27970098219423517
2.7.1.15	Ribokinase	2788.47	0.27884698224860077
2.5.1.7	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2780.71	0.2780709822980009
3.6.4.13	RNA helicase	2765.22	0.27652198239661024
2.8.1.1	Thiosulfate sulfurtransferase	2760.74	0.2760739824251299
4.1.2.40	Tagatose-bisphosphate aldolase	2749.35	0.2749349824976387
2.7.1.45	2-dehydro-3-deoxygluconokinase	2737.36	0.2737359825739671
2.4.2.1	Purine-nucleoside phosphorylase	2653.03	0.2653029831108118
3.6.3.8	Transferred entry 7.2.2.10	2629.98	0.2629979832575481
2.7.8.33	N-acetylglucosaminephosphotransferase	2614.68	0.26146798335494786
1.1.1.6	Glycerol dehydrogenase	2613.91	0.26139098335984967
5.4.99.62	D-ribose pyranase	2613.39	0.26133898336316
2.1.1.37	DNA (cytosine-5-)-methyltransferase	2598.96	0.2598959834550214
