GO ID	GO Category	GO Description	Copies per Million (CPM)	Relative Abundance
GO:0016021	Cellular_Components	integral component of membrane	97471.7	9.772150089183889
GO:0005524	Molecular_Functions	ATP binding	55603.7	5.5746201401427715
GO:0005737	Cellular_Components	cytoplasm	50174.1	5.030268639920319
GO:0003677	Molecular_Functions	DNA binding	39343.4	3.9444229434676674
GO:0005886	Cellular_Components	plasma membrane	23925	2.398631509286537
GO:0046872	Molecular_Functions	metal ion binding	18823.1	1.8871339921609787
GO:0006412	Biological_Processes	translation	16171.1	1.621254336460753
GO:0016787	Molecular_Functions	hydrolase activity	15547.2	1.558704443100508
GO:0003735	Molecular_Functions	structural constituent of ribosome	13965.9	1.4001691868566288
GO:0005840	Cellular_Components	ribosome	12178.2	1.2209410343320086
GO:0016740	Molecular_Functions	transferase activity	11460	1.1489369737272188
GO:0006355	Biological_Processes	regulation of transcription, DNA-templated	11404	1.1433226220231418
GO:0016887	Molecular_Functions	ATPase activity	11109.6	1.1138071730645647
GO:0003700	Molecular_Functions	DNA-binding transcription factor activity	9639.82	0.9664524972142338
GO:0009401	Biological_Processes	phosphoenolpyruvate-dependent sugar phosphotransferase system	9481.11	0.9505408229471966
GO:0003723	Molecular_Functions	RNA binding	9149.3	0.917274786537735
GO:0055085	Biological_Processes	transmembrane transport	8796.87	0.8819414656258082
GO:0008270	Molecular_Functions	zinc ion binding	8747.68	0.8770098591914589
GO:0019843	Molecular_Functions	rRNA binding	8677.97	0.870020993882687
GO:0005975	Biological_Processes	carbohydrate metabolic process	7600.84	0.7620319465431759
GO:0051301	Biological_Processes	cell division	7410.55	0.7429541789401608
GO:0016301	Molecular_Functions	kinase activity	7180.46	0.7198862113760337
GO:0003676	Molecular_Functions	nucleic acid binding	7048.93	0.7066995028110825
GO:0043565	Molecular_Functions	sequence-specific DNA binding	6804.18	0.6821617781758524
GO:0000287	Molecular_Functions	magnesium ion binding	6726.13	0.6743367754882948
GO:0005525	Molecular_Functions	GTP binding	5731.58	0.5746268917866888
GO:0008982	Molecular_Functions	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	5567.72	0.5581988976754373
GO:0022857	Molecular_Functions	transmembrane transporter activity	5428.32	0.5442231721835024
GO:0006260	Biological_Processes	DNA replication	5007.4	0.502023298624928
GO:0006281	Biological_Processes	DNA repair	4816.32	0.48286632856037337
GO:0000160	Biological_Processes	phosphorelay signal transduction system	4621.71	0.463355453825901
GO:0006310	Biological_Processes	DNA recombination	4475.12	0.44865888567767465
GO:0000049	Molecular_Functions	tRNA binding	4190.05	0.42007882781550904
GO:0043190	Cellular_Components	ATP-binding cassette (ABC) transporter complex	4153.71	0.41643551458468464
GO:0000155	Molecular_Functions	phosphorelay sensor kinase activity	4063.01	0.4073422699496883
GO:0008168	Molecular_Functions	methyltransferase activity	3894.86	0.3904841763953923
GO:0007049	Biological_Processes	cell cycle	3775.52	0.3785195918888822
GO:0071555	Biological_Processes	cell wall organization	3646.26	0.36556046508050694
GO:0016491	Molecular_Functions	oxidoreductase activity	3468.16	0.3477048215359329
GO:0015074	Biological_Processes	DNA integration	3374.94	0.3383589310742531
GO:0005623	Cellular_Components	cell	3263.47	0.3271833634947266
GO:0016829	Molecular_Functions	lyase activity	3258.94	0.326729202544379
GO:0008360	Biological_Processes	regulation of cell shape	3126.77	0.31347832995995256
GO:0003824	Molecular_Functions	catalytic activity	3075.88	0.30837628784887244
GO:0030170	Molecular_Functions	pyridoxal phosphate binding	2993.25	0.30009211139694575
GO:0008233	Molecular_Functions	peptidase activity	2987.59	0.29952466084971224
GO:0016020	Cellular_Components	membrane	2907.43	0.29148811741044744
GO:0009252	Biological_Processes	peptidoglycan biosynthetic process	2872.56	0.28799218091185513
GO:0045454	Biological_Processes	cell redox homeostasis	2758.03	0.27650982911421307
GO:0005887	Cellular_Components	integral component of plasma membrane	2574.88	0.25814789135346783
GO:0003887	Molecular_Functions	DNA-directed DNA polymerase activity	2507.02	0.25134450016349147
GO:0042626	Molecular_Functions	ATPase-coupled transmembrane transporter activity	2502.48	0.2508893366503395
GO:0006633	Biological_Processes	fatty acid biosynthetic process	2445.65	0.24519177223350552
GO:0016853	Molecular_Functions	isomerase activity	2351.57	0.23575966137065588
GO:0003924	Molecular_Functions	GTPase activity	2306.88	0.23127920819824144
GO:0004519	Molecular_Functions	endonuclease activity	2286.73	0.22925904414757797
GO:0003899	Molecular_Functions	DNA-directed 5'-3' RNA polymerase activity	2264.73	0.22705340597811907
GO:0006457	Biological_Processes	protein folding	2233.91	0.22396350741526802
GO:0050660	Molecular_Functions	flavin adenine dinucleotide binding	2186.29	0.21918930334119385
GO:0006351	Biological_Processes	transcription, DNA-templated	2136.22	0.21416947138006626
GO:0004222	Molecular_Functions	metalloendopeptidase activity	2127.1	0.21325513410254512
GO:0009058	Biological_Processes	biosynthetic process	2094.25	0.2099617152904213
GO:0004252	Molecular_Functions	serine-type endopeptidase activity	2082.77	0.20881077319108549
GO:0051539	Molecular_Functions	4 iron, 4 sulfur cluster binding	2049.95	0.20552036206737453
GO:0005576	Cellular_Components	extracellular region	2029.59	0.20347914419782076
GO:0009116	Biological_Processes	nucleoside metabolic process	2028.2	0.20333978796802316
GO:0000166	Molecular_Functions	nucleotide binding	2025.91	0.20311020108583858
GO:0003960	Molecular_Functions	NADPH:quinone reductase activity	2023.04	0.2028224655610046
GO:0032196	Biological_Processes	transposition	1909.05	0.1913942521547947
GO:0016757	Molecular_Functions	transferase activity, transferring glycosyl groups	1907.4	0.1912288292920853
GO:0009055	Molecular_Functions	electron transfer activity	1887.89	0.18927282926089697
GO:0006096	Biological_Processes	glycolytic process	1875.29	0.1880096001274796
GO:0006364	Biological_Processes	rRNA processing	1784	0.17885720428702953
GO:0051287	Molecular_Functions	NAD binding	1770.07	0.17746063430064035
GO:0006189	Biological_Processes	'de novo' IMP biosynthetic process	1720.38	0.1724788997260762
GO:0015934	Cellular_Components	large ribosomal subunit	1715.36	0.1719756131983178
GO:0071705	Biological_Processes	nitrogen compound transport	1654.15	0.16583892627320065
GO:0050661	Molecular_Functions	NADP binding	1623.31	0.16274702258474097
GO:0015935	Cellular_Components	small ribosomal subunit	1613.77	0.16179057766943927
GO:0006313	Biological_Processes	transposition, DNA-mediated	1597.97	0.16020652843864608
GO:0005618	Cellular_Components	cell wall	1593.64	0.15977241874438441
GO:0004386	Molecular_Functions	helicase activity	1562.22	0.15662236641327537
GO:0006526	Biological_Processes	arginine biosynthetic process	1559	0.15629954119029096
