Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Streptococcus agalactiae GCA_000288295.1	1154944	GCA_000288295.1	Bacteria	85.75	0.992392	0.917492	5443038	5627123
s__Bifidobacterium breve GCA_001685805.1	1685	GCA_001685805.1	Bacteria	5.64	0.796708	0.02642	392039	370110
s__Enterococcus faecalis GCA_002944575.1	1351	GCA_002944575.1	Bacteria	4.25	0.550028	0.016748	359152	278895
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	Bacteria	1.9	0.999671	0.999671	176827	124683
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	Bacteria	1.79	0.660604	0.658725	135262	117464
s__Corynebacterium pyruviciproducens GCA_000411375.1	1125779	GCA_000411375.1	Bacteria	0.16	0.311609	0.310039	13297	10500
s__Bifidobacterium dentium GCA_009160675.1	1689	GCA_009160675.1	Bacteria	0.1	0.284337	0.235122	7807	6562
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	Bacteria	0.05	0.051688	0.014298	3754	3281
s__Staphylococcus aureus GCA_013371405.1	1280	GCA_013371405.1	Bacteria	0.04	0.012603	0.016542	3638	2625
Pseudoperonospora cubensis	143453	GCA_000252605.1	Protists	0.03	0.003906	0.003815	3547	1969
s__Staphylococcus simulans GCA_001812305.1	1739350	GCA_001812305.1	Bacteria	0.03	0.114178	0.087735	2393	1969
s__Ralstonia pickettii_B GCA_000372665.1	1264675	GCA_000372665.1	Bacteria	0.03	0.093448	0.087644	4787	1969
s__Aerococcus urinae_D GCA_001809895.1	1715159	GCA_001809895.1	Bacteria	0.02	0.082565	0.044076	1117	1312
s__Aerococcus urinae_B GCA_001811135.1	1739288	GCA_001811135.1	Bacteria	0.02	0.07847	0.049541	923	1312
s__Falseniella ignava GCA_000301055.1	883112	GCA_000301055.1	Bacteria	0.02	0.069688	0.069664	1256	1312
s__Bradyrhizobium sp003020075 GCA_003020075.1	2133945	GCA_003020075.1	Bacteria	0.02	0.059677	0.057937	4120	1312
s__Lactobacillus paragasseri	2107999		Bacteria	0.01	0.033644	0.024708	392	656
s__Aerococcus urinae_A GCA_000193205.1	2976812	GCA_000193205.1	Bacteria	0.01	0.096417	0.062624	811	656
s__Facklamia hominis GCA_001810675.1	1739262	GCA_001810675.1	Bacteria	0.01	0.034655	0.018346	393	656
s__Staphylococcus haemolyticus	1283		Bacteria	0.01	0.028906	0.015134	392	656
s__Actinotignum timonense GCA_002860685.1	1870995	GCA_002860685.1	Bacteria	0.01	0.065038	0.059498	912	656
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	Bacteria	0.01	0.022563	0.012685	314	656
s__Actinotignum schaalii_A GCA_000411135.1	883067	GCA_000411135.1	Bacteria	0.01	0.042589	0.033248	639	656
s__Corynebacterium glucuronolyticum	39791		Bacteria	0.01	0.018871	0.025302	853	656
s__Phocaeicola vulgatus GCA_000699865.1	1339352	GCA_000699865.1	Bacteria	0.01	0.038425	0.015936	1769	656
s__Finegoldia magna_H GCA_000179695.1	866773	GCA_000179695.1	Bacteria	0.01	0.037312	0.011126	681	656
s__Finegoldia magna GCA_009679635.1	2584652	GCA_009679635.1	Bacteria	0.01	0.015641	0.005625	324	656
s__Peptoniphilus_A harei GCA_001815405.1	1739525	GCA_001815405.1	Bacteria	0.01	0.020363	0.018624	367	656
s__Anaerococcus sp900258475 GCA_900258475.1	2057799	GCA_900258475.1	Bacteria	0.01	0.028718	0.02871	497	656
s__Veillonella atypica	39777		Bacteria	0.01	0.071285	0.057377	706	656
s__Dialister micraerophilus GCA_000194985.1	888062	GCA_000194985.1	Bacteria	0.01	0.017843	0.012422	235	656
