Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GENE qacC		-	30992.1	20.905	1	1	2776
Streptococcus pyogenes GENE mefA		-	19414.52	13.096	0.880165	0.880165	4668
Streptococcus pyogenes GENE msrD		-	12586.96	8.49	0.638532	0.638532	3441
Staphylococcus aureus GI 33390919		-	7514.18	5.069	0.753769	0.840909	419
Staphylococcus epidermidis GeneID SEA1545		-	7345.15	4.955	0.95045	0.95045	549
Enterococcus faecalis GI 32470453		-	6494.88	4.381	0.872881	0.872881	323
Enterococcus faecalis GENE mobE		-	6372.76	4.299	0.743885	0.743885	1230
Enterococcus faecium GI 21886745		-	5797.54	3.911	0.882353	0.819936	15
Enterobacter GENE agg		-	5095.06	3.437	0.541782	0.533832	3280
Enterococcus faecalis GENE cylR2		-	5069.58	3.42	1	1	110
Staphylococcus aureus GI 33390920		-	4976.61	3.357	0.719745	0.719745	295
Enterococcus faecium GENE sat4		-	4917.01	3.3169999999999997	0.8	0.8	243
Enterococcus faecalis GENE cylL-s		-	4689.05	3.163	1	1	82
Enterobacter GENE cylB		-	4623.02	3.118	0.592047	0.592047	1256
Enterobacter GENE espf 2378 Branch		-	4562.18	3.077	0.426263	0.426263	282
Enterococcus faecalis GeneID EF0149		-	3641.99	2.4570000000000003	0.494024	0.515815	567
Enterococcus faecalis GENE repE		-	3131.15	2.112	0.568862	0.568862	195
Enterococcus faecalis GI 32470456		-	3055.44	2.061	0.754098	0.754098	46
Enterococcus faecalis GI 32470455		-	2833.17	1.9109999999999998	0.60274	0.60274	88
Proteus mirabilis GENE tnpA		-	2597.9	1.752	0.85	0.85	17
Enterobacter GENE cad		-	2540.21	1.7129999999999999	0.416399	0.416399	320
