Pfam ID	Name	Copies per Million (CPM)	Relative Abundance
PF00005	ABC transporter	27601.1	2.760110036709466
PF00528	Binding-protein-dependent transport system inner membrane component	9093.86	0.9093860120948349
PF00072	Response regulator receiver domain	6897.36	0.6897360091734895
PF00664	ABC transporter transmembrane region	5842.06	0.5842060077699406
PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	5530.33	0.5530330073553396
PF00665	Integrase core domain	4973.19	0.49731900661434325
PF07690	Major Facilitator Superfamily	4748.97	0.4748970063161307
PF00486	Transcriptional regulatory protein, C terminal	4398.85	0.4398850058504711
PF00271	Helicase conserved C-terminal domain	4147.35	0.4147350055159761
PF01381	Helix-turn-helix	3611.58	0.3611580048034018
PF00440	Bacterial regulatory proteins, tetR family	3554.38	0.35543800472732584
PF00512	His Kinase A (phospho-acceptor) domain	3518.17	0.35181700467916655
PF01926	50S ribosome-binding GTPase	3305.85	0.3305850043967809
PF04055	Radical SAM superfamily	3225.35	0.3225350042897159
PF00009	Elongation factor Tu GTP binding domain	3222.28	0.3222280042856328
PF00571	CBS domain	3087.12	0.30871200410586996
PF04542	Sigma-70 region 2	3036.78	0.3036780040389178
PF00239	Resolvase, N terminal domain	2946.19	0.2946190039184331
PF13276	HTH-like domain	2910.52	0.29105200387099195
PF07715	TonB-dependent Receptor Plug Domain	2869	0.28690000381577035
PF00156	Phosphoribosyl transferase domain	2820.13	0.28201300375077326
PF00270	DEAD/DEAH box helicase	2789.78	0.27897800371040776
PF01479	S4 domain	2723.55	0.27235500362232185
PF02687	FtsX-like permease family	2692.16	0.2692160035805731
PF07992	Pyridine nucleotide-disulphide oxidoreductase	2621.52	0.26215200348662193
PF00004	ATPase family associated with various cellular activities (AAA)	2538.2	0.2538200033758063
PF07508	Recombinase	2444.59	0.24445900325130498
PF00583	Acetyltransferase (GNAT) family	2398.91	0.23989100319055057
PF00589	Phage integrase family	2386.74	0.23867400317436446
PF00593	TonB dependent receptor	2376.47	0.23764700316070536
PF00293	NUDIX domain	2356.75	0.23567500313447778
PF08281	Sigma-70, region 4	2319.7	0.23197000308520127
PF00392	Bacterial regulatory proteins, gntR family	2291.42	0.2291420030475889
PF00872	Transposase, Mutator family	2274.27	0.2274270030247794
PF08245	Mur ligase middle domain	2273	0.22730000302309028
PF01751	Toprim domain	2124.48	0.21244800282555865
PF01546	Peptidase family M20/M25/M40	2118.25	0.21182500281727276
