Name	Tax ID	GTDB ID	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
Melampsora pinitorqua Mpini7	1298852	GCA_000464645.1	40.32	0.00987	0.008739	7994	13514
Monosporascus sp. 5C6A	2211642	GCA_004155035.1	21.14	0.006472	0.002631	9258	7086
Rhodotorula sp. CCFEE 5036	1965284	GCA_005059875.1	9.62	0.002029	0.00128	1068	3224
Malassezia globosa CBS 7966	425265	GCA_000181695.1	6.49	0.00948	0.00948	5079	2175
Malassezia restricta	76775	GCA_003290485.1	6.43	0.013152	0.010924	4119	2155
Candida parapsilosis	5480	GCA_014049495.1	5.49	0.001519	0.001516	423	1840
Tuber microsphaerosporum	1455713	GCA_003521225.1	5.05	0.002179	0.001701	2839	1693
Malassezia sp.	2011732	GCA_004026415.1	2.74	0.012381	0.006988	1560	918
Onygenales	33183		1.45	0.001411	0.001411	279	486
Malassezia yamatoensis	253288	GCA_001264885.1	1.27	0.003601	0.003601	899	426
